Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:16 PM    6    2.00    0.00   14.00    0.00    0.00   79.00    0.00    0.00    0.00    5.00
04:18:16 PM    7    0.99    0.00   13.86    0.00    0.99   80.20    0.00    0.00    0.00    3.96
04:18:16 PM    8    1.00    0.00   15.00    0.00    1.00   79.00    0.00    0.00    0.00    4.00
04:18:16 PM    9    4.95    0.00   13.86    0.00    0.99   75.25    0.00    0.00    0.00    4.95
04:18:16 PM   10   20.00    0.00   13.00    0.00    1.00   64.00    0.00    0.00    0.00    2.00
04:18:16 PM   11    2.02    0.00   14.14    0.00    0.00   79.80    0.00    0.00    0.00    4.04
04:18:16 PM   12   26.73    0.00   11.88    0.00    0.99   58.42    0.00    0.00    0.00    1.98
04:18:16 PM   13   36.36    0.00   10.10    0.00    0.00   48.48    0.00    0.00    0.00    5.05
04:18:16 PM   14    2.02    0.00   16.16    0.00    0.00   79.80    0.00    0.00    0.00    2.02
04:18:16 PM   15    1.01    0.00   15.15    0.00    1.01   79.80    0.00    0.00    0.00    3.03

04:18:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:17 PM  all   15.63    0.06   14.57    0.00    0.62   66.25    0.00    0.00    0.00    2.86
04:18:17 PM    0    3.00    0.00   15.00    0.00    1.00   75.00    0.00    0.00    0.00    6.00
04:18:17 PM    1   24.00    1.00   13.00    0.00    0.00   61.00    0.00    0.00    0.00    1.00
04:18:17 PM    2   24.24    0.00   12.12    0.00    1.01   61.62    0.00    0.00    0.00    1.01
04:18:17 PM    3    3.00    0.00   16.00    0.00    0.00   79.00    0.00    0.00    0.00    2.00
04:18:17 PM    4   42.57    0.00   13.86    0.00    0.99   39.60    0.00    0.00    0.00    2.97
04:18:17 PM    5   14.85    0.00   15.84    0.00    0.99   64.36    0.00    0.00    0.00    3.96
04:18:17 PM    6    6.00    0.00   15.00    0.00    1.00   76.00    0.00    0.00    0.00    2.00
04:18:17 PM    7   47.00    0.00   14.00    0.00    0.00   38.00    0.00    0.00    0.00    1.00
04:18:17 PM    8    9.90    0.00   14.85    0.00    0.99   72.28    0.00    0.00    0.00    1.98
04:18:17 PM    9   22.22    0.00   13.13    0.00    0.00   62.63    0.00    0.00    0.00    2.02
04:18:17 PM   10   11.00    0.00   14.00    0.00    0.00   69.00    0.00    0.00    0.00    6.00
04:18:17 PM   11    7.92    0.00   15.84    0.00    0.99   69.31    0.00    0.00    0.00    5.94
04:18:17 PM   12    7.00    0.00   15.00    0.00    0.00   77.00    0.00    0.00    0.00    1.00
04:18:17 PM   13   10.89    0.00   14.85    0.00    0.99   72.28    0.00    0.00    0.00    0.99
04:18:17 PM   14   13.86    0.00   14.85    0.00    0.99   66.34    0.00    0.00    0.00    3.96
04:18:17 PM   15    2.94    0.00   15.69    0.00    0.98   76.47    0.00    0.00    0.00    3.92

04:18:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:18 PM  all   16.46    0.00   14.58    0.00    0.50   65.58    0.00    0.00    0.00    2.88
04:18:18 PM    0   11.11    0.00   14.14    0.00    0.00   71.72    0.00    0.00    0.00    3.03
04:18:18 PM    1    2.00    0.00   15.00    0.00    1.00   77.00    0.00    0.00    0.00    5.00
04:18:18 PM    2    9.00    0.00   14.00    0.00    0.00   74.00    0.00    0.00    0.00    3.00
04:18:18 PM    3   16.83    0.00   12.87    0.00    0.99   66.34    0.00    0.00    0.00    2.97
04:18:18 PM    4   12.00    0.00   19.00    0.00    1.00   65.00    0.00    0.00    0.00    3.00
04:18:18 PM    5   51.52    0.00   10.10    0.00    0.00   37.37    0.00    0.00    0.00    1.01
04:18:18 PM    6   14.14    0.00   16.16    0.00    0.00   68.69    0.00    0.00    0.00    1.01
